序号,品牌,判定,价格虚高风险,原因,数据来源
1958,"Gik,catrice",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1959,KaLOHaS+,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1960,"德研丝（SYSTEM PROFESSIONAL）,小红脸",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1961,"SHEVEU,美国箭牌（Mane 'n Tail）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1962,"Horizon Organic,福爵（FUJUE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1963,"唯意一号,格兰轩（GRANSHAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1964,Canesten,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1965,"Two cows,Krauterhof",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1966,"宜可诚（Ecostore）,今治タオル（ imabari towel）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1967,SUQQU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1968,"SAGE,博朗菲（Borownfie）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1969,"路易老爷（Louis Royer）,十四代",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1970,"ZHENMI,Cancer Council",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1971,"Rosa Prima,京都念慈菴",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1972,传皙诺（TRANSINO）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1973,"麦卡伦（MACALLAN）,卡慕（CAMUS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1974,法帝旗（FADIQI）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1975,"康贝（Combi）,阿普丽佳（APRICA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1976,"雅莉格丝（Elegance）,LANLVX",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1977,"图里巴丁（Tullibardine）,格兰花格（Glenfarclas）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1978,"安妮克莱因（ANNE KLEIN）,潘多拉（pandora）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1979,"LORETTA,CANMAKE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1980,"Masata,ISANA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1981,"Apriori,MAQUILLAGE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1982,"HISTOIRES de PARFUMS,PRICELINE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1983,苏菲,非假洋牌(国产),低,需进一步核实,规则推断·未核验
1984,"妙力,丹麦蓝罐（Kjeldsens）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1985,"和光堂（Wakodo）,貝印",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1986,"蜜黛诗（Methode Swiss）,莎莎（Sasa）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1987,"资生堂（SHISEIDO PROFESSIONAL）,THREE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1988,"贝拉米（Bellamy's）,可瑞康（karicare）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1989,资生堂专业美发（SHISEIDO PROFESSIONAL）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1990,BIOTONA,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
1991,响（Hibiki）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
1992,"HARIO,SKATER",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1993,"春雨（Papa recipe）,Losoki",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1994,"克斯阿苏尔,响（Hibiki）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1995,"cantu,艾梵达（AVEDA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1996,"颐莲（RELLET）,凌博士",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1997,"卡洛塔妮（karihome）,喜宝（HiPP）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1998,"凉介,摩飞电器（Morphyrichards）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
1999,"SAVANNA ORCHARDS,TheraBreath",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2000,"HABA,赫妍（HERA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2001,BYLYSE,真洋牌,低-中,"加拿大设计师品牌,母国真实",已联网核验
2002,艾优睿,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2003,Aritzia,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2004,"专典,颐莲（RELLET）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2005,"罗娜女神,兰芝（LANEIGE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2006,浮美,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2007,"维蕾德（WELEDA）,Caprilac",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2008,"海特安可金卡露,沃斯坦",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2009,"欧仕派（OLD SPICE）,SHEVEU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2010,"AG,传奇今生（LEGEND AGE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2011,"天,罗娜女神",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2012,"卡洛塔妮（karihome）,瑞一宝",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2013,VICKI BROWN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2014,"MOONY,克奈圃（Kneipp）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2015,"安娜柏林（Annemarie Borlind）,高丝（Kose）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2016,"SUNSILK,欧倍青（Alpecin）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2017,"SUN ZAPPER,Creer Beaute",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2018,高姿（COGI）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2019,"伊藤（Ito）,米勒·海莉诗（Miller Harris）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2020,"艾美（Emmi）,欧迪圣（OWNDAYS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2021,"虎牌,东芝",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2022,"子母（DUTCH LADY）,摩可纳（Moccona）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2023,"TESORI D'ORIENTE 东方宝石,伊思（It’s skin）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2024,"石崎成器,西哲（sezze）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2025,闻献 DOCUMENTS,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2026,"AROUGE,蜜丝婷（misiting）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2027,日立（HITACHI）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2028,"PRICELINE,OGX",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2029,"艾杜莎（Ettusais）,AMPLEUR",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2030,"Ben Nye,嘉娜宝（KANEBO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2031,"WOPUKA,THREE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2032,"NATIO,ETVOS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2033,"德国世家（Dr.Hauschka）,RMK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2034,"生鲜本能（instinct）,Quest",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2035,"essence,蔻吉",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2036,"沙龙贝尔,凯歌",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2037,ANASTASIA BEVERLY HILLS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2038,"芭宝（BABOR）,芯丝翠（Neostrata）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2039,"DOMX,MOIA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2040,"yohji yamamoto,MIKIMOTO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2041,诺士博（NOVEXPERT）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2042,"SAMURAI JEANS,Paraboot",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2043,森宝（Semper）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2044,"BOH,水果之乡",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2045,"丹麦蓝罐（Kjeldsens）,SUNRAYSIA NATURAL. NUTRITIOUS. DELICIOUS.",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2046,"DOFANKIN,AROMAT HERBS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2047,"宫本川,爱伽丝",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2048,"RSY,轻奢",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2049,"康如（KLORANE）,欧缇丽（Caudalie）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2050,"雅莉格丝（Elegance）,丽珠兰（REJURAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2051,"悦舒荟,0001",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2052,"艾珂薇（ACWELL）,SPICARE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2053,"too faced,缔芙曼（DIFUMAN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2054,Medallion,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2055,摩飞电器（Morphyrichards）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2056,"Deonatulle,吾诺（UNO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2057,"和光堂（Wakodo）,香蒲丽",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2058,"珀莱雅双抗,安晒美",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2059,"PLUS EAU,艾杜莎（Ettusais）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2060,"康蜜儿（Kamill）,克奈圃（Kneipp）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2061,汀思图（DEANSTON）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2062,FAZAU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2063,Otamatone,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2064,"和光堂（Wakodo）,森田藥粧（DR.JOU）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2065,"小蓝瓶（TAKAMI）,PLIFT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2066,"小蓝瓶（TAKAMI）,Dermaroller",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2067,"AG,润妮秀",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2068,"ETVOS,Algenist",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2069,"SKATER,needsuvcut",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2070,"澳柯玛（AUCMA）,美诺（MIELE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2071,雅琪朵（argital）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2072,"muselove,谷格",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2073,维丽海斯,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2074,"维蕾德（WELEDA）,欧仕派（OLD SPICE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2075,巴哈,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2076,"澳芝曼（G＆M）,珂莱欧（CLIO）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2077,"UZU,苏菲娜（Sofina）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2078,"YS,D",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2079,"网件（NETGEAR）,IQAir",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2080,"皮尔卡丹（PIERRE CARDIN）,BY S.T.DUPONT;D",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2081,"克宁（KLIM）,Simply Organic",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2082,"RMK,SUQQU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2083,"酷彩（Le Creuset）,亨克斯（HENCKELS）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2084,摩洛哥油（Moroccanoil）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2085,儷心國際貿易有限公司標章,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2086,谷雨（GOODWAY）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2087,"MOCLANB 默克兰博,GDANNY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2088,"皮尔卡丹（pierre cardin）,梦特娇（MONTAGUT）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2089,老虎牌,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2090,"怡万家（iwaki）,NINJA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2091,D,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
2092,"HARPIC,SUNLIGHT",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2093,迷珂宝（MILK BAOBAB）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2094,"GENEX FORMULAS,FitLine",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2095,"FOUR NINES,LINDBERG",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2096,"CAPITA,FLUX",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2097,"雅莉格丝（Elegance）,ACQUA COLONIA NO.4711.",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2098,英伟达 NVIDIA,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2099,VAPE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2100,"Elta MD,NAPOLEON PERDIS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2101,"ETVOS,RMK",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2102,"科士威,金门高粱",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2103,兰芝（LANEIGE）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2104,"九州,伊藤园（ITOEN）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2105,"PAUL&JOE,酷韵（Cure Natural Aqua Jel　）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2106,"美源（bigen）,福而可（FUEKI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2107,"近江兄弟社（OMI BROTHERHOOD）,春雨（PAPARECIPE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2108,"JOHN VARVATOS,BUXOM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2109,SANKAIDOU,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2110,皇后的秘密,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2111,"LEFILLEO,颐莲（RELLET）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2112,"施丹兰（STENDERS）,OPI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2113,"COCOSILIYA,小城伊香（Xiaochengyixiang）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2114,"果本（gooben）,高姿（COGI）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2115,"维氏（VICTORINOX）,MEPAL",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2116,"颐莲（RELLET）,湘南",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2117,"罗娜女神,ORGINESE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2118,"高丝（Kose）,MAQUILLAGE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2119,"赛步,香港大药房",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2120,"SNIDEL BEAUTY,SUQQU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2121,"APOTHEKE FRAGRANCE,Parfums de Marly",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2122,"琉球酒豪伝説,培克能",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2123,GEDICO,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2124,以纯（YISHion）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2125,MINOIS PARIS,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2126,Liefmans,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2127,"LINDBERG,Dita",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2128,"PLIFT,桃瑞丹",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2129,"宜可诚（Ecostore）,碧户清（Briochin）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2130,乐高教育,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2131,"艾优睿,安满（ANMUM）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2132,"可菱水,HORI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2133,"sesderma,Rosette",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2134,"蜜浓（MINON）,雅莉格丝（Elegance）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2135,"爱慕莎（EMSA）,德国宝（German Pool）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2136,"PAUL&JOE,Apagard",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2137,GROSJEAN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2138,"得妈贝,卡诗 KERASTASE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2139,"雅莉格丝（Elegance）,I-WAWA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2140,"RYOBI,孔雀（Peacock）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2141,"天安门,舍得",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2142,HR,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
2143,禧贝（Happybaby）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2144,"Amino mason,棕榄（PALMOLIVE）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2145,"馥马尔,ANTONIO BANDERAS",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2146,"HABA,SNIDEL BEAUTY",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2147,"CHERRY,AOC",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2148,HERBATINT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2149,"MENOKIN,HABA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2150,"ARMA,AREA",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2151,"大白罐,fix&tox",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2152,"TITO’S HANDMADE VODKA,IGANOFF",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2153,CREED,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2154,"ausiki,可瑞康（karicare）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2155,"野鸟（WILD BIRDS）,STANCE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2156,"EUTHYMOL,Admire My Skin",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2157,都柏特（S.dubtnt）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2158,"挺拔（TIBHAR）,GEWO",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2159,EARLY RIDER,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2160,乐毅积木,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2161,"mosh!,碧然德",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2162,"宝贝与我（Arla）,boiron",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2163,"珀莱雅双抗,娜涟",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2164,"欧缇丽（Caudalie）,雅莉格丝（Elegance）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2165,爱顿博格（AnthonBerg）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2166,Torriden,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2167,"UZU,RD",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2168,"KISS YOU,馬油保湿成分（horse oil）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2169,JaneClare,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2170,"HTC,SPICARE",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2171,日本,非假洋牌(国产),低,需进一步核实,规则推断·未核验
2172,"krups,百乐满（Paloma）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2173,"Lil Critters,BRIONI",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2174,"GIRLS CRUSH GC,GIRLS CRUSH",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2175,活灵魂（ALMAVIVA）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2176,TOOFRUIT,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2177,A 安生罗比,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2178,"krups,BODUM",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2179,"玛丽安保莱（MARIANNEBOLLE）,湘南",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2180,MAD ET LEN,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2181,CK,疑似假洋牌(无元音),高,"无元音字母,高风险生造名",规则推断·未核验
2182,"mks,KAI贝印",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2183,"馥绿德雅（RENE FURTERER）,东方宝石（Tesori D’oriente）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2184,黛尔珀（d'Alba）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2185,"梵希,潘多拉（pandora）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2186,"plackers,近江兄弟社（OMI BROTHERHOOD）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2187,"PLIFT,娥佩兰（OPERA）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2188,"3lab,德国世家（Dr.Hauschka）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2189,CANMAKE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2190,CAMETTE,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2191,Cancer Council,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
2192,丽丝雅（Restoria）,待核验(中英混合),待核验,"中英混合,通常为真品牌,需逐个搜索",规则推断·未核验
2193,"TAITO,FURYU",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2194,"高丝（Kose）,穆乐（MUHLE M）",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
2195,ZM beauty,待核验(英文名),待核验,"英文名,需联网核验",规则推断·未核验
